RICE_PRODUCTION ,WHEAT_PRODUCTION ,KHARIF_SORGHUM_PRODUCTION,RABI_SORGHUM_PRODUCTION,SORGHUM_PRODUCTION,PEARL_MILLET_PRODUCTION,MAIZE_PRODUCTION,FINGER_MILLET_PRODUCTION,BARLEY_PRODUCTION,CHICKPEA_PRODUCTION,PIGEONPEA_PRODUCTION,MINOR_PULSES_PRODUCTION,GROUNDNUT_PRODUCTION,SESAMUM_PRODUCTION,RAPESEED_AND_MUSTARD_PRODUCTION,SAFFLOWER_PRODUCTION,CASTOR_PRODUCTION,LINSEED_PRODUCTION,SUNFLOWER_PRODUCTION,SOYABEAN_PRODUCTION,OILSEEDS_PRODUCTION,SUGARCANE_PRODUCTION,COTTON_PRODUCTION
113.9,0,18.4,1.5,19.9,0,12.8,159.8,0,0.6,2.4,16.17,2.3,2.3,0,0,1.5,0,2.5,0,15.08,21.7,0.4
70.7,0,15.8,0.9,16.7,0,9.6,132.6,0,0.5,3.2,10.19,3.8,1.4,0,0,4.1,0,4,0,14.57,14.1,0.6
108.9,0,23.7,0,23.7,0,8,170,0,1,3,23.88,4,1.8,0,0,2,0,4.1,0,17.57,15.6,1
75.5,0,10.5,4.1,14.6,0,2.3,121,0,1,1,21.36,4,1.1,0,0,1.9,0,8.5,0,10.66,19.6,0.3
94,0,12.7,0.5,13.2,0,8.8,117.4,0,0,1.7,7.47,5.7,2.3,0.1,0,2.1,0,7.6,0,15.92,29.6,1.1
108.2,0,7.4,2,9.4,0,11.4,167.9,0,0.5,2.3,14.54,6,1.9,0,0,2.7,0,10.8,0,21.22,14.5,1.7
102.43,0,3.39,1.38,4.77,0,8.98,122.96,0,0.56,1.4,14.86,1.71,0.57,0.02,0,1.92,0,6.75,0.02,11.38,32,0.89
130.84,0,11.07,1.33,12.4,0,16.85,191.3,0,1.11,2.38,23.65,5.64,2.7,0.03,0,5.53,0,13.29,0.04,27.66,43.44,1.31
145.28,0,9.07,0.9,9.98,0,18.75,227.47,0,0.52,1.67,39.62,5.95,3.91,0.03,0,1.18,0,12.49,0.01,23.96,43.52,1.41
141.03,0.01,4.14,0.96,5.1,0,14.17,181.39,0,0.6,0.3,24.73,6.34,0.61,0.03,0,1.09,0,8.21,0.14,16.88,87.66,0.88
181.35,0.01,6.26,4.14,10.4,0,17.27,213.53,0,1.99,0.54,18.94,5.92,2.64,0.04,0,1.37,0,6.81,0.11,17.48,115.75,1.83
154.12,0,4.15,0.69,4.84,0,14.51,149.92,0,1.37,0.56,19,3.69,1.86,0.06,0,1.85,0,6.65,0.03,14.88,48.9,2.09
148.43,0,4,0.86,4.85,0,14.83,187.4,0,1.41,1.41,20.83,4.81,1.78,0.06,0,1.79,0,5.89,0.08,15.08,30.8,1.3
187.58,0,3.32,0.63,3.95,0,13.28,163.77,0,1.96,0.83,30.76,6.74,3.13,0.06,0,3.34,0,5.8,0.02,19.58,49.53,1.11
156.25,0,3.32,0.99,4.3,0,17.27,241.48,0,0.91,0.86,22.1,4.57,2.41,0.1,0,1.98,0,8.26,0.06,18.26,47.06,0.97
183.93,0,2.77,0.6,3.37,0,48.27,157.07,0,1.18,0.78,21.77,4.47,2.33,0.09,0,2.52,0,4.85,0.06,0,57.62,1.58
170,0,2.34,0.35,2.7,0,58,211,0,1,1,17,5,2,0,0,2,0,4,0.04,14,62.3,1.02
144.14,0,1.76,0.66,2.42,0,57.95,184.66,0,0.93,0.5,18.25,1.27,1.32,0.11,0,1.69,0,1.92,0.02,7.38,72.09,0.7
82.2,0,2.01,3.3,5.31,0,58.53,103.89,0,0.97,0.36,9.93,1.88,1.63,0.07,0,0.8,0,2.86,0,7.94,84.25,0.16
67.69,0,1.06,1.57,2.64,0,38.48,94.21,0,0.86,0.34,7.66,0.77,0.47,0.13,0,0.66,0,1.53,0,4.04,39.27,0.02
135.49,0,4.24,0.9,5.14,0,98.06,168.95,0,1.1,0.92,14.98,3.05,3.09,0.11,0,1.13,0,8.7,0,16.95,33.55,0.31
119.46,0,3.37,0.42,3.79,0,94.82,160.02,0,0.76,1.16,10.36,2.57,4.4,0.06,0,2.07,0,10.52,0,20.44,25.84,0.21
126.5,0,3.06,0.82,3.88,0,129.91,92.14,0,1.61,0.84,14.81,0.89,3.22,0.06,0,1.4,0,5.84,0,12.13,66.41,0.43
128.65,0,3.39,0.27,3.65,0,148.88,98.41,0,0.97,0.76,11.8,0.97,1.53,0.06,0,1.25,0,9.05,0,14.28,41.25,0.16
131.49,10.01,3.2,0.5,3.7,0,138.3,100.19,0,1.57,0.61,9.03,0.67,1.21,0.07,0,1.55,0,8.24,0,13.16,26.78,0.22
127.89,0,3.23,0.6,3.84,0,222.25,106.83,0,1,0.87,12.69,0.68,2.29,0.09,0,1.08,0,8.14,0,13.69,23.55,0.08
149.23,0,6.9,0.49,7.4,0,280.45,165.13,0,1.58,1.54,27.81,1.04,5.27,0.1,0,1.68,0,6.1,0,14.64,37.35,0.04
120.86,0,1.6,0.28,1.89,0,231.95,109.23,0,1.51,1.6,20.7,0.58,2.73,0.05,0,1.45,0,2.61,0,7.75,42.66,0.04
107.78,0,1.21,0.09,1.3,0.05,185.53,72.46,0,0.65,0.61,9.15,0.44,0.6,0.05,0,0.46,0,0.37,0,2.11,18.22,0.03
158.59,0,1.58,0.21,1.79,0.05,230.2,134.61,0,1.1,0.87,11.68,0.87,0.47,0.02,0,1.27,0,0.27,0,4.23,12.23,0.15
146.29,0,0.96,0,0.96,0,323.28,155.98,0,1.9,3.43,14.68,0.6,1.77,0.04,0,1.25,0,0.69,0,4.82,17.13,0.2
117.08,0,0.58,0.03,0.6,0,250.12,109.58,0,2.27,0.99,11.7,0.59,1.13,0.03,0,0.7,0,0.51,0,0,9.82,0.12
53.23,0,0.07,0.03,0.1,0,207.42,45.43,0,0.13,0.93,7.03,0.5,0.2,0,0,0.4,0,0.1,0,0,5.87,0.02
70.09,0,1.7,0.42,2.12,0,527.89,242.27,0,0.89,1.27,12.34,0.51,0.17,0.01,0,0.52,0,0.32,0,0,27.69,0.07
238,0,18.6,0.4,19,0,0,14,0,2,3,8.71,10,0.3,0,0.03,0.2,0,0,0,10,41.7,0
185,0,22.1,0.2,22.3,0,0,13,0,2,1,7.72,24,0.4,0,0.02,0.2,0,0,0,23.92,53.5,0
384,0,27,9.8,36.8,0,0,18,0,1,2,12.23,8,0.3,0,0,0.5,0,0,0,8.62,43.3,1
432.2,0.1,36.7,15.5,52.2,0.1,0.4,24.4,0,1,1.4,17.31,13.1,0.5,0,0,0.4,0,0,0,3.8,33.8,0.5
304.9,0.2,45.1,0,45.1,0.1,1.7,37.9,0,1.1,2.5,9.9,12.9,0.5,0,0,0.3,0,0,0,13.48,45.3,0.7
366,0.3,49.4,0,49.4,0,4,45.1,0,0.8,2,10.74,16.2,0.4,0,0,0.3,0,0,0,17.1,61.8,1.9
291.6,0,52.4,13.6,66,0,0.7,43.8,0,0.2,1.6,6.56,14.3,0.3,0,0.01,0.1,0,0,0,14.69,77.1,1.6
371.2,0.1,65.6,7.7,73.3,0,0.7,33.1,0,0.8,1.9,4.97,13.4,0.2,0,0,0.1,0,0,0,13.8,75.2,1.6
321.1,0.7,68.3,5.9,74.2,0,0.5,35.4,0,0.7,1.7,5.7,13.6,0.3,0,0,0.1,0,0,0,14.2,56.4,2
358.1,0,69.2,6.3,75.5,0,2,63.2,0,0.3,1.9,5.65,12.1,0.5,0,0,0.1,0,0,0,12.83,59.3,0.8
204.8,0,19.5,4.3,23.8,0,2,32.6,0,0.2,6.5,0,6.3,0,0,0,0.1,0,0,0,6.46,67.9,0.4
393,0.1,41.8,6.3,48.1,0,0.9,58,0,0.1,1.8,6.11,9.5,0.3,0,0,0.2,0,0,0,10.1,67.1,1.1
377.4,0.1,63.3,4.4,67.7,0,2.1,78.2,0,0.1,1.7,5.01,10,0.3,0,0,0.2,0,0,0,10.84,50.7,0.9
369,0.1,50.1,3.6,53.7,0,5.3,61.1,0,0.1,2,7.21,11,0.2,0,0,0.2,0,0,0,13.03,43.8,1.3
574.9,0.1,50.6,4.2,54.8,0,5.4,57.6,0,0.1,1.8,4.84,7,0.2,0,0,0.2,0,0.3,0,12.5,56.2,0.8
548,0.1,38.4,3.1,41.5,0,2.8,82.1,0,0.1,1.5,10.33,5.3,0.2,0,0,0.2,0,0.2,0,11.61,46.9,1.1
349.7,0.1,41,2.6,43.6,0,2.1,71.7,0,0.1,1.4,5.33,9,0.2,0,0,0.1,0,0.2,0,11.73,66.8,0.9
354.7,0.1,42.3,2.7,45,0,4.4,74.6,0,0.1,1.8,6.86,12.4,0.2,0,0,0.3,0,1.1,0,19.04,51.1,1.3
381.1,0.1,54.8,2.5,57.3,0,2.9,70.4,0,0.2,1.6,10.14,20.3,0.6,0,0,0.1,0,0.8,0,20.87,54.5,0.6
290.9,0.1,43.7,1.2,44.9,0,3.7,87.6,0,0.1,0.5,7.69,15.9,0.8,0,0,0.2,0,0.6,0,20.29,79.3,5
363,0,64,1.9,65.9,0,6,50,0,0.2,3,7.01,14,0.6,0,0,0.2,0,1.4,0,29.03,115.2,4
270,0.3,44.4,12.5,56.9,0,10,43,0,0.4,2,11.28,36,1.9,0,0.4,0.8,0,3.4,0,36.24,128.7,7
308.4,0,26.2,1.4,27.6,0,31.2,47.5,0,0.1,1.2,5.47,29.1,2.7,0.1,0,0.6,0,3.3,0,30.87,126,6.1
365.1,0.1,57.2,3.8,61,0,25.4,49.8,0,0.2,2,4.32,29.8,1.6,0,0.1,0.2,0,3.2,0,32.79,139.3,11.8
378.62,0.03,27.26,1.88,29.14,0,23.17,37.88,0,0.07,1.1,3.7,17.36,1.18,0.01,0.02,0.16,0,3.95,0.01,22.8,192.66,9.78
354.86,0.18,36.56,2.72,39.28,0,25.15,35.49,0,0.2,1.34,9.04,25.55,1.29,0.02,0.03,0.17,0,3.64,0,30.8,190.54,8.27
442.24,0.09,43.8,2.52,46.32,0,40.22,41.98,0,0.25,0.75,7.7,29.39,0.73,0.02,0.01,0.14,0.01,4.07,0,34.46,211.01,16.2
458.87,0.11,40.48,2.68,43.16,0,64.61,52.55,0,0.19,1.06,5.65,30.75,1.18,0.01,0.06,0.1,0,4.53,0.01,36.73,166.83,11.5
483.93,0.04,28.53,1.69,30.54,0,48.97,33.51,0,0.2,0.89,4.24,20.98,0.5,0.02,0.01,0.11,0,4,0,25.58,197.57,7.72
433.67,0.03,25.83,2.28,28.12,0,51.53,36.41,0,0.12,0.38,3.02,16.85,0.1,0.01,0.02,0.12,0,3.97,0.01,21.17,192.66,5.62
449.78,0.13,35.48,2.61,38.09,0,129.06,41.9,0,0.28,0.83,5.41,20.62,0.15,0.01,0.01,0.17,0.01,3.14,0.03,24.24,168.02,15.5
489.84,0.06,18.27,1.65,19.92,0,131.51,19.2,0,0.22,0.46,4.9,17.71,0.11,0.01,0.01,0.13,0,2.52,0.02,20.64,161.48,5.78
383.62,0,3.52,0.07,3.73,0,32.13,12.55,0,0.19,0.24,5,6.48,0.1,0.01,0,0.14,0.01,0.35,0.03,7.16,124.85,7.21
383.33,0.01,3.2,0.17,3.37,0,41.01,9.53,0,0.19,0.43,3.65,5.13,0.12,0.01,0,0.11,0.01,0.15,0.02,0,134.27,4.61
371,0,1.57,0.18,1.75,0,62,8,0,0,0,2,5,0,0,0,0,0,0,0.05,5,127.8,2.21
244.59,0,2.17,0.28,2.45,0,50.37,6.87,0,0.03,0.22,1.6,2.25,0.05,0.01,0,0.08,0,0.09,0,2.53,102.1,2.3
214.48,0,0.72,0.24,0.95,0.01,96.6,5.97,0,0.05,0.27,1.21,2.94,0.06,0.01,0,0.06,0,0.2,0,3.31,130.59,1.87
241.96,0,0.85,0.2,1.05,0,143.55,7.1,0,0.03,0.22,1.45,4.03,0.04,0.01,0,0.03,0,0.52,0,4.66,102.91,1.34
313.54,0,1.01,0.02,1.03,0,221.14,4.96,0,0.02,0.17,0.77,5.18,0.07,0.01,0,0.01,0.01,1.08,0,6.39,56.93,2.05
333.12,0,0.82,0.06,0.88,0,161.38,3.03,0,0.07,0.23,0.77,3.35,0.12,0,0,0.06,0.01,3.24,0,6.8,58.06,2
314.72,0,0.69,0.02,0.71,0,183.07,3.24,0,0.02,0.2,0.77,2.23,0.05,0,0,0.04,0,4.07,0,6.42,80.84,3.2
323.86,0,0.8,0.04,0.84,0,123.35,2.82,0,0.04,0.26,1.19,1.87,0.01,0,0,0,0,6.16,0,8.08,79.04,1.52
320.8,0,0.42,0.19,0.6,0,212.48,2.3,0,0.03,0.28,1,1.89,0.04,0,0,0.03,0,3.37,0,5.36,26.18,1.46
319.81,0,0.93,0.07,1,0,199.93,2.2,0,0.04,0.17,0.93,0.9,0.02,0,0,0.01,0.01,2.28,0,3.24,45.47,0.42
366.59,0,0.66,0.07,0.73,0,273,2,0,0.05,0.17,1.04,1.23,0.04,0,0,0,0,2.11,0.04,3.12,61.66,0.55
376.58,0,0.4,0.19,0.58,0,265.68,1.72,0,0.03,0.22,0.89,0.75,0.05,0,0.01,0,0.01,2.4,0,3.24,88.51,0.72
328.9,0,0.66,0.09,0.75,0,287.24,1.78,0,0.04,0.47,0.41,0.49,0,0,0.01,0.06,0,2.53,0,3.01,44.95,0.41
380.81,0,0.63,0.05,0.68,0.01,191.34,1.14,0,0.04,0.23,0.37,0.41,0.01,0,0.01,0,0,1.99,0,2.41,47.16,0.34
370.01,0,0.66,0.12,0.78,0,211.2,1.04,0,0.01,0.16,0.5,0.2,0,0,0.01,0,0,1.18,0,2.15,39.3,0.38
286.76,0,0.97,0.07,1.04,0,203,2.22,0,0,0.11,0.94,0.31,0,0,0,0,0,1.16,0,0,35.93,0.47
218.6,0,0.14,0.04,0.18,0,177.81,1.26,0,0,0.45,0.18,0.09,0,0,0,0,0,0.35,0,0,21.15,0.19
235.1,0,0.32,0.05,0.38,0.01,359.3,1.93,0,0.03,0.47,0.24,0.3,0,0,0,0,0,0.48,0,0,11.2,0.79
89,0.1,8.3,0.8,9.1,0.1,0,15,0,1,0,1.33,3,0.5,0,0,0.6,0,0,0,3.24,8.4,0
57,0.1,8.4,0.5,8.9,0.1,0,24,0,1,0,0.79,2,0.7,0,0.17,0.5,0,0,0,3.62,9.9,0
108,0.1,16.1,0.9,17,0.1,1,20,0,1,8,1.27,5,1.6,0,0,0.7,0,0,0,7.02,14.6,0.1
96.1,0.1,13.5,1.4,14.9,0.1,1,24.6,0,0.9,0.9,2.55,7.6,2.1,0,0,0.6,0,0,0,10.47,10.5,0
96.1,0.2,17.9,0,17.9,0,0.8,31.3,0,0.8,0.4,6.63,5.5,1.8,0,0.01,0.5,0,0,0,7.52,13.1,0
103.3,0.5,22.2,0,22.2,0,0.3,38.8,0,0.4,0.9,11.18,8,1.9,0,0.01,0.8,0,0,0,10.65,15.3,0
97.9,0.4,27.5,0.2,27.7,0,0.1,22.5,0,0.2,0.8,10.54,3.2,1.2,0,0.01,0.9,0,0,0,5.33,10.9,0.3
105,0.8,25.9,1.9,27.8,0.1,0.2,22.2,0,0.9,0.5,11.08,4.7,2,0,0,0.6,0,0,0,7.67,13.2,0.2
86.7,0.2,19.7,1.9,21.6,0.1,0.6,30.1,0,1,0.4,10.26,9.6,1.8,0,0.1,0.6,0,0,0,12.84,11.8,0.2
95.8,0.5,23,2.2,25.2,0.1,0.8,42.3,0,1,0.6,11.7,10.1,2.6,0,0,0.8,0,0,0,13.77,13.4,0.1
77.3,0.1,2.8,1.5,4.3,0.1,0.7,16.7,0,0.5,0.3,5.93,2.1,1.1,0,0,0.3,0,0,0,3.66,9.7,0
104.8,0.5,19.2,0,19.2,0.1,1,45.7,0,0.6,0.7,7.98,8.2,2.3,0,0,0.7,0,0,0,11.46,10.8,0.1
112.6,0.6,24.2,1.2,25.4,0.1,0.3,55.1,0,0.5,0.5,12.45,5.9,2.6,0,0,0.4,0,0,0,9.4,13,0.1
95.4,0.3,25,1.2,26.2,0.1,0.6,53.5,0,0.5,0.6,10.32,6.5,2.1,0,0,0.5,0,0,0,10.21,11.2,0.1
186.2,0.3,20,1.6,21.6,0,1.2,41.8,0,0.4,0.3,8.33,4.1,2.5,0,0,0.5,0,0.1,0,10.08,14.4,0.2
186,0.3,20,1.8,21.8,0,0.8,59.2,0,0.5,0.4,7.64,3.1,1.9,0,0.1,0.6,0,0,0,10.03,12.7,0.1
107.9,0.4,17.1,2.1,19.2,0,0.3,54.7,0,0.5,0.2,6.52,5.3,1.6,0,0.1,0.6,0,0.1,0,8.34,13.8,0.4
110.3,0.3,21,60.4,81.4,0.1,0.7,47.2,0,0.6,0.3,9.02,7.3,1.6,0,0,0.9,0,0.1,0,8.84,14.9,0.1
100.8,0.5,10.8,25.2,36,0.1,0.5,59.7,0,0.8,0.4,6.28,8.4,3.4,0,0.1,0.6,0,0.1,0,11.78,17.5,0.3
100,0.2,15.4,0.9,16.3,0.1,0.2,63.6,0,0.6,0.5,4.88,14.6,2.4,0,0,0.3,0,3.2,0,13.65,8.5,0.2
86,0.5,30.9,2.2,33.1,0.1,0.5,65,0,2,1,13.52,7,1.6,0.3,0,0.2,0,3.9,0,19.96,12.3,0.3
92,0.3,9.1,5.4,14.5,0,0.2,48,0,1,0.3,14.85,7,1.4,0,0.2,0.6,0,4.6,0,13.62,16.4,0.6
98.1,0.1,11.1,3.6,14.7,0,0.9,55.2,0,0.4,0.4,6.31,11.3,3.7,0.1,0.1,1.5,0,5.2,0,27.86,20.4,0.2
118.6,0.1,17.9,7.9,25.8,0,1.5,66.3,0,0.8,0.6,11.06,8.4,2.2,0,0.2,0.4,0,8.2,0,19.74,18.3,0.7
114.98,0.09,5.02,5.7,10.72,0,0.75,50.4,0,0.91,0.26,10.78,4.06,0.95,0.01,0.22,0.17,0,5.3,0,10.81,14.46,0.55
112.73,0.06,15.97,5.36,21.32,0,1.55,70.76,0,1.68,0.65,13.85,10.13,3.45,0.02,0.27,0.47,0,13.77,0.03,28.24,16.39,0.52
118.28,0.11,16.31,11.26,27.57,0,1.15,83.71,0,1.71,0.26,13.79,11.86,4.69,0.02,0.41,0.15,0,20.24,0.04,37.53,15.7,0.49
134.64,0.03,9.05,7.23,16.28,0,1.15,68.49,0,1.71,0.38,8.72,10.93,1.42,0.02,0.3,0.14,0,17.49,0.01,30.43,21.27,0.25
134.17,0.05,13.43,6.91,20.34,0,0.88,81.41,0,4.43,0.55,13.12,20.26,2.67,0.02,0.32,0.77,0,11.92,0.02,36.08,20.54,0.33
111.51,0.04,6.1,5.65,11.75,0,0.76,93.23,0,2.95,0.33,14.31,6.18,1.69,0.17,0.2,0.63,0,13.59,0.03,23.08,16.96,0.44
116.03,0.09,14.26,7.6,21.86,0,1.78,88.89,0,1.62,0.55,10.16,9.17,1.09,0.14,0.24,1.31,0,17.02,0.02,29.29,15.04,0.52
124.95,0.04,10.07,6.42,16.49,0,0.74,60.32,0,2.43,0.22,12.32,10.15,5.77,0.15,0.1,0.88,0,16.51,0.01,33.98,16.4,0.57
118.81,0.06,5.05,7.05,12.1,0,1.57,104.24,0,3.48,0.48,10.72,10.02,2.39,0.14,0.13,1.23,0,11.26,0.12,25.73,12.45,0.83
129.36,0.03,3.39,5.94,9.33,0,0.49,89.07,0,1.55,0.68,10.1,5.88,5.01,0.1,0.19,0.69,0,3.02,0.09,0,14.08,0.42
121,0,3.96,3.49,7.45,0,1,117,0,1,0,8,5,3,0,0,1,0,5,0.13,14,15.9,0.51
111.88,0.02,3.58,4.4,7.97,0,1.2,87.45,0,0.85,0.15,6.49,4.75,1.4,0.08,0.06,0.5,0,1.75,0,8.76,15.08,0.22
87.43,0,3.96,3.02,6.98,0,1.4,64.31,0,0.89,0.43,6.63,3.5,1.34,0.05,0.02,0.64,0,2.1,0,7.83,17.52,0.33
79.95,0,1.68,4.31,5.98,0,0.95,45.38,0,0.75,0.18,4.8,2.18,0.45,0.06,0,0.67,0,1.89,0,5.41,10.89,0.07
122.08,0.01,4.83,4.85,9.69,0,3.94,102.35,0,1.32,0.46,7.36,3.2,3.67,0.06,0.01,0.47,0,8.83,0,16.52,18.24,0.43
107.86,0.01,4.36,6.43,10.79,0,8.09,105.51,0,1.24,0.44,7.09,4.41,9.97,0.05,0.03,0.89,0,9.47,0,24.96,13.29,0.31
112.24,0.01,2.05,4.83,6.89,0,8.77,64.6,0,0.93,0.31,9.19,2.39,4.09,0.03,0.08,0.56,0,6.68,0,14.09,20.75,0.38
110.99,0.02,4.08,7.06,11.14,0,12.3,77.98,0,2.75,0.54,10.04,3.28,4.5,0.05,0.04,0.66,0,11.53,0,20.54,6.44,0.57
108.26,23.77,2.38,4.98,7.36,0,11.38,97.41,0,3.62,0.31,10.13,3.5,4.11,0.06,0.04,0.54,0,5.96,0,14.68,3.92,0.23
108.17,0.01,2.41,4.92,7.33,0,29.45,89.38,0,3.96,0.33,9.64,4.84,4.51,0.04,0.02,0.43,0,6.24,0,16.42,4.89,0.24
115.48,0,2.51,5.27,7.78,0,51.27,92.62,0,5.79,0.44,10.93,3.87,7.41,0.05,0.03,0.49,0,2.97,0,14.42,6.44,0.33
116.76,0,0.64,4.8,5.44,0,63,49.21,0,4.15,0.28,6.75,4.1,2.44,0.03,0.03,0.56,0,1.42,0,9.24,13.76,0.2
87.47,0,1.08,3.91,4.99,0.01,36.13,37.72,0,5.19,0.35,7.15,2.62,1.99,0.01,0,0.15,0,1.1,0.01,5.96,8.59,0.17
112.1,0,1.15,4.9,6.05,0,72.76,41.82,0,6.46,0.43,8.45,4.76,3.12,0,0,0.17,0,1.75,0,10.13,8.81,0.25
105.3,0,1.79,7.29,9.08,0,60.8,52.44,0,8.54,0.36,8.49,3.91,2.97,0,0,0.15,0,1.47,0,8.61,13.22,0.54
88.32,0,0.93,8.07,9,0,61.67,60.85,0,15.99,0.28,11.46,3.84,5.2,0,0,0.22,0,1.57,0,0,6.98,0.34
71.84,0,0.15,2.22,2.37,0,100.25,24.54,0,1,0.78,3.83,3.27,3.42,0.01,0,0.14,0,3.2,0,0,7.21,0.18
64.63,0,0.4,11.23,11.63,0,45.21,71.44,0,8.16,0.48,9.88,4.31,2.12,0,0,0.06,0,0.42,0,0,6.94,0.7
39,0.1,71.6,20,91.6,6,1,55,0,2,6,6.72,27,0.6,0,1.69,0.1,0,0,0,30.41,13.4,4
27,0.3,78.8,35.3,114.1,10,1,40,0,1,11,11.54,12,3.9,0,0.19,0.4,0,0,0,15.53,27.1,2
61,0.1,102.5,12.5,115,3,1,22,0,1,10,12.62,14,1.4,0,0,1,0,0,0,16.42,17.8,2
71.1,1.3,94.3,13.9,108.2,9.3,2.2,45.9,0,1.2,8,24.2,34.6,3.3,0,0.02,2.5,0,0,0,40.78,15.2,2.2
98.3,2.7,115.6,8.5,124.1,16.2,3.7,73.6,0,1.4,10.8,17.16,45.3,2,0,0.08,2.7,0,0,0,50.73,15.6,3.9
126.9,3.6,162.2,4,166.2,11.7,2.8,91.3,0,0.7,11.8,24.53,48,3.1,0,0.07,4,0,0,0,56.64,19.5,9.5
82.8,3.1,113.2,19.5,132.7,16.4,1.6,75,0,0.2,11.4,25.04,35,2.6,0.1,0.1,1.9,0,0,0,40.04,20.8,7
77.9,6.8,181.2,27.5,208.7,12.7,1.7,70.3,0,0.7,9.4,20.06,35.8,2.8,0.1,0.1,1.4,0,0,0,41.63,26.5,7
56.7,5.7,151.6,25.1,176.7,18.7,3.5,71.8,0,1,11.5,21.77,26.5,4.6,0.1,0.1,1.8,0,0,0,33.08,12.5,7.2
91.6,2.3,178.7,52,230.7,18.6,9.3,127.7,0,0.5,13.5,26.9,32,3,0.1,0,2.5,0,0,0,41.22,25,3.8
67.4,0.7,27.1,25.8,52.9,3.4,5.8,87.4,0,0.3,1.7,10.13,13.3,0.6,0.1,0.1,0.2,0,0,0,11.41,41,0.7
103.9,0.9,150.3,23,173.3,12.1,10.1,125.4,0,0.7,17.9,19.55,28,5.5,0.1,0.1,2.4,0,0,0,38.09,48.3,3.8
91.1,3.8,138.2,39.4,177.6,17.4,17.3,137.6,0,0.3,16,17.31,23,5.8,0.1,0.2,2.6,0,0,0,32.84,39.2,2.6
112.8,2.1,86.9,9.3,96.2,8.6,34.9,137.5,0,0.3,11.3,31.84,25.3,4.7,0.2,0.1,1.1,0,0,0,56.92,33.8,3.5
204,2.7,82.5,37.3,119.8,8.6,32.1,155.6,0,0.3,13.3,14.62,16.2,5.5,0.2,1,1.3,0,2.6,0,51.35,43.5,2.3
202.3,2.7,83.4,91.1,174.5,3.8,37.2,171.3,0,0.3,20,22.63,12.1,4.1,0.2,0.5,1.7,0,1.3,0,59.71,54.8,3
131.7,0.9,99.7,23.7,123.4,10.5,46.8,292.5,0,0.3,5.8,18.7,20.7,3.5,0.1,0.2,2.1,0,3.3,0,82.9,65.4,2.5
149.1,1.2,85.1,74.2,159.3,9.9,40.1,205.6,0,0.3,5.9,29.35,28.5,3.5,0,0.7,3.5,0,23.8,0,82.7,33.2,3.5
129.8,0.7,75.1,32.4,107.5,11.4,24.4,182.7,0,0.7,11.4,20.13,92.1,3.9,0.2,0.8,1.4,0,17.3,0,133.74,62.1,3.2
32.8,0.3,70.3,18.7,89,8.2,43.5,101.2,0,1.3,2.8,14.08,84.9,2.2,0.3,0.3,1.4,0,11.4,0,107.96,24.9,2.1
99,2,119.2,23.5,142.7,10,39,178,0,1,15,25.43,75,2.4,0,1.3,1.9,0,23.7,0,133.25,38.2,4
98,1,78.2,25.4,103.6,8,61,146,0,1,7,17.01,98,9.3,0.1,2.4,1.3,0,35.7,0,148.31,9.3,7
104,0.5,83.5,15.2,98.7,12.7,76,136.1,0,0.5,13.5,12.15,159.2,14.2,0.2,0.7,4.5,0,17.9,0,175.6,60.1,12.8
142.9,0.5,54,28.8,82.8,16.5,95.4,169.2,0,0.5,6.1,17.45,120.1,6.1,0.2,2.1,3.3,0,27,0,161.7,42.1,8.2
177.23,0.66,54.43,24.51,78.94,2.99,61.24,84.49,0,0.49,5.81,23.15,79.15,4.36,0.17,2.47,1.77,0,37.4,0.03,125.98,80.74,8.35
105.15,0.52,94.95,25.96,120.91,6.87,118.67,111.74,0,1.02,8.69,26.11,146.35,8.43,0.18,1.26,2.26,0,45.02,0.02,204.02,60.64,13.47
212.51,0.62,77.52,21.78,99.29,4.66,185.47,108.88,0,1.2,9.53,22.41,206.83,5.36,0.17,1.52,2.71,0,43.75,0.04,260.77,64.73,13.5
220.67,0.46,83.88,22.1,105.97,3.85,132.77,114.23,0,0.88,6.23,17.16,171.04,5.29,0.17,1.6,1.87,0,50.76,0.03,231.2,65.6,10.98
230.25,0.32,66.49,16.19,82.68,2.75,152.69,97.04,0,1.98,3.97,16.13,125.33,4.95,0.14,2.1,1.46,0,44.99,0.01,179.35,82.76,9.64
216.44,0.31,45.84,11.5,57.34,2.92,141.82,98.17,0,0.58,3.7,9.64,145.35,1.21,0.12,1.53,1.52,0,28.26,0,178.29,81.99,9.4
235.32,0.57,90.77,18.55,109.32,7.17,222.42,126.48,0,1.37,7.35,13.98,154.9,1.79,0.16,0.91,3.02,0,41.92,0.3,203.36,78.31,11.28
248.09,0.38,43.94,17.61,61.54,1.82,262.47,55.75,0,1.26,4.23,15.85,97.88,2.41,0.06,0.52,1.24,0,18.97,0,121.32,82.77,5.47
418.35,1.02,144.49,19.56,170.4,6.63,488.48,159.42,0,2.74,6.82,18.09,246.23,2.32,0.06,0.84,1.47,0,29.87,0.01,281.35,93.44,10.46
431.65,1.83,82.03,27.51,109.53,2.47,153.56,126.68,0,2.01,7.42,12.94,138.9,4.51,0.06,1.94,1.55,0,20.79,0.02,0,68.33,4.46
456,2,97.85,14,111.86,5,583,203,0,3,11,19,211,3,0,2,7,0,24,0,247,233.5,6.12
