RICE_PRODUCTION ,WHEAT_PRODUCTION ,KHARIF_SORGHUM_PRODUCTION,RABI_SORGHUM_PRODUCTION,SORGHUM_PRODUCTION,PEARL_MILLET_PRODUCTION,MAIZE_PRODUCTION,FINGER_MILLET_PRODUCTION,BARLEY_PRODUCTION,CHICKPEA_PRODUCTION,PIGEONPEA_PRODUCTION,MINOR_PULSES_PRODUCTION,GROUNDNUT_PRODUCTION,SESAMUM_PRODUCTION,RAPESEED_AND_MUSTARD_PRODUCTION,SAFFLOWER_PRODUCTION,CASTOR_PRODUCTION,LINSEED_PRODUCTION,SUNFLOWER_PRODUCTION,SOYABEAN_PRODUCTION,OILSEEDS_PRODUCTION,SUGARCANE_PRODUCTION,COTTON_PRODUCTION
1145.82,29.58,0.15,0,0.15,0,3.35,0.08,0.02,136.35,7.39,10.22,1.33,1.06,1.11,0.08,0,12.17,0.92,15.27,22.11,0.41,0.05
984.31,23.19,0.11,0,0.11,0,3.87,0.09,0.01,81.77,6.26,9.43,1.08,0.74,1.22,0.08,0.02,8.29,0.97,25.72,31.95,0.65,0.21
984.31,23.19,0.11,0,0.11,0,3.87,0.09,0.01,81.77,6.26,74.99,1.08,0.74,1.22,0.08,0.02,8.29,0.97,25.72,38.16,0.65,0
1177.1,26.62,0.15,0,0.15,0,5.03,0.04,0,123.47,4.65,127.67,1.04,1.04,1.26,0.08,0.01,9.28,1.25,35.86,49.86,0.72,0.05
1095.84,34.38,0.03,0,0.17,0,3.82,0.05,0.07,130.29,4.96,404.31,0.87,0.65,1.22,0.05,0.04,8.44,0.74,71.13,82.96,1.21,0.01
704.09,31.19,0.07,0,0.26,0,3.35,0.06,0.06,113.04,5.41,149.66,0.72,0.44,1.23,0.06,0,4.59,0.22,66.01,73.18,0.84,0.01
622.05,38.12,0.07,0,0.22,0,3.4,0.04,0.01,130.06,5.88,67.34,1.02,0.74,1.58,0.07,0,4.24,0.3,64.92,72.74,1.65,0
1319.18,45.87,0.32,0,0.32,2.41,4.63,0,0.07,174.84,5.24,91.25,0.96,0.57,2.17,0.1,0,3.14,0.29,105.41,112.83,1.13,0
1416.48,50.19,0.2,0,0.2,0,4.67,0.04,0.17,197.94,5.46,32.84,0.84,0.55,1.61,0.03,0,4.96,0.15,69.83,78.18,2.06,0.02
1534.22,47.69,0.49,0,0.49,0,4.8,0.05,0.11,235.92,6.1,60.53,0.72,0.47,1.64,0.09,0.02,4.76,0.14,101.62,109.66,1.26,0.02
1296.24,43.33,0,0,0.17,0.07,6.34,0.04,0.12,173.91,5.68,56.73,0.9,0.37,1.68,0.05,0,3.38,0.11,92.65,99.31,0.93,0.01
1444.24,50.96,0,0,0.18,0.04,5.84,0.03,0.11,241.58,9.18,97.92,0.7,0.53,1.76,0.05,0,3.04,0.1,39.93,46.2,3.46,0.02
880.6,54.6,0,0,0.19,0,14.47,0.01,0.03,166.24,11.01,47.02,0.75,0.87,2.41,0.12,0,2.34,0.04,49.1,37.19,2.57,0.01
1791.66,61.84,0,0,0.13,0,16.12,0.01,0.01,264.01,14.82,92.38,0.7,0.78,1.89,0.03,0,0,0,60.69,0,7.21,0.02
983.21,50.19,0,0,0.14,0,18.09,0,0,259.45,10.69,46.03,0.77,0.49,2,0.12,0,1.16,0,25.02,0,3.59,0.13
261,1,4.2,0,4.2,0,31,2.3,0,0.5,2,-1,0,0.2,4.1,0,0,0.2,0,0,-1,2.4,0
319,1,4.6,0,4.6,0,34,2.7,0,1,3,-1,0,0.2,4.3,0,0,0.6,0,0,-1,2.8,0
294,1,5.3,0,5.3,0,24,2.9,0.2,1,2,-1,0,0.5,6.2,0,0,0.5,0,0,-1,3.7,0
329,1.5,4.8,0,4.8,0,25,2.8,0.2,0.9,2,18,0,0.4,6.2,0,0,0.8,0,0,10.3,4.1,0
316.8,1.9,5.2,0,5.2,0,36.1,2.9,0,0.8,2.9,18,0,0.3,5.5,0,0,0.9,0,0,9.7,3.8,0
366.6,1.5,4.1,0,4.1,0,35.1,3,0,1,3.9,17.5,0,0.3,7,0,0,0.9,0,0,12.6,3.8,0
285.8,1.7,5.2,0,5.2,0,37.1,2.8,0,0.7,3.9,16.8,0,0.4,9.5,0,0,0.9,0,0,14.1,3.7,0
364.3,1.9,6.9,0,6.9,0,39.4,3,0,0.9,3,19.7,0,0.4,11,0,0,1.3,0,0,16.8,4,0
302.9,2,5.8,0,5.8,0,34.6,2.7,0,0.5,4,17.6,0,0.4,10.7,0,0,0.7,0,0,15.9,3.7,0
407.9,2.9,7.9,0,7.9,0,34.8,3.5,0,0.8,4.4,19.5,0,0.4,12.3,0,0,1.3,0,0,17.8,3.7,0
296.1,2.2,4.7,0,4.7,0,32.6,2,0,0.4,2.4,9.8,0,0.2,2.4,0,0,0.5,0,0,5.2,2.9,0
430.4,2.6,6,0,6,0,29.2,2.6,0,0.7,3.2,14.7,0,0.2,4.7,0,0,1.2,0,0,10.6,2.5,0
402.2,2.8,6.3,0,6.3,0,30.2,2.9,0,0.6,2,15.8,0,0.1,7.1,0,0,1.4,0,0,11.8,2.8,0
309.2,2.4,8.3,0,8.3,0,39.4,3.2,0,0.6,1.4,16.3,0,0.1,4.7,0,0,0.9,0,0,8.8,1.7,0
391.8,3.1,8.1,0,8.1,0,30.3,3.1,0.1,0.6,1.7,16,0,0.1,8,0,0,0.8,0,0,9.8,1.7,0
389.3,3.3,8.2,0,8.2,0,29.4,3,0.1,0.8,2.9,15.4,0,0.2,7,0,0,1,0,0,11,2.1,0
372.4,3.9,5.5,0,5.5,0,36.7,3.5,0.1,1,1.9,17.7,0,0.1,6.3,0,0,0.8,0,0.1,11.7,2.1,0
408,2.7,9.4,0,9.4,0,39,3.5,0,0.9,3.1,20.3,0,0.1,7.6,0,0,1,0,0.2,13.5,2.8,0
395.6,3,10.1,0,10.1,0,42.8,2.8,0,1,2.6,18.3,0,0.4,7.5,0,0,1,0,0.1,12.5,2.6,0
834.3,2.6,9.8,0,9.8,0,32.4,3.1,0,1,3.1,20.2,0,0.3,6.7,0,0,0.9,0,0.1,12.3,0.6,0
403,3,8,0,8,0,34,3,0,1,4,18.6,0,0.2,6,0,0,1.1,0,0.1,11.1,1.4,0
382,2,9.1,0,9.1,0,34,3,0,1,3,20.5,0,0.4,9.3,0,0,1,0,0.1,14.5,0.4,0
553.2,3,8.6,0,8.6,0,40.9,3.2,0,1.1,4.1,20.4,0.1,0.5,9.9,0,0,0.9,0,0.1,14.8,0.6,0
544.7,2.7,9.1,0,9.1,0,54.7,3.1,0,1,4.5,19.9,0,0.8,8.9,0,0,0.7,0,0.1,14,0.7,0
561.9,2.4,5.5,2.3,7.8,0,40.6,0,0,0.9,4.2,22,0,0.5,9.78,0,0,0.7,0,0.04,15,1.1,0
624.3,3,5.6,1.8,7.4,0,40.8,0,0,1,3.5,22.4,0,0.4,10.52,0,0,0.8,0.01,0.02,16.1,0.5,0
533.3,2,5.3,3,8.3,0,46.3,0,0,0.8,3.4,20.3,0,0.5,6.37,0,0,0.6,0.02,0.87,11.7,1.3,0
603.7,2.6,6,3.4,9.4,0,43.9,0,0,1.1,3.9,23.3,0.1,0.7,6.5,0,0,0.9,0.02,0.73,12.6,0.9,0
604,2.4,4.6,1.6,6.2,0,32.2,0,0,1.2,3.5,23.2,0.1,0.5,7.1,0,0,1.2,0.01,0.4,13.1,0.9,0
589.1,2.5,5.4,2.3,7.7,0,41.6,0,0,1.1,2.7,23.6,0.1,0.6,6.7,0,0,1.3,0,0.4,13.4,1.1,0
670.5,3.3,6.4,5.5,11.9,0,38.7,0,0,1.2,2.9,28,0.1,0.7,7.3,0,0,1.4,0,0.3,20.1,1.3,0
455,2.2,5.3,0,5.3,0,34.1,0,0,0.9,2.6,20.1,0.1,0.6,5.5,0,0,1.2,0,0.1,11.6,1,0
569.8,3.8,10.3,2.4,12.7,0,56.8,0,0,1.7,4,26.34,0.3,1.3,8.9,0,0,2.1,0,0.2,16.7,1.2,0
676.2,0,0,0,0,0,46.6,2.36,0,0.91,2.71,10.7,0,0.82,10.53,0,0,1.06,0.01,0.16,3.62,1.35,0
523.9,2.75,3.44,0,3.44,0,38.35,1.78,0,0.71,1.26,21.58,0.07,0.68,3.07,0,0,0.55,0.01,0.12,4.48,0.13,0.01
922.15,3.88,5.23,0,5.23,0,23.68,2.34,0,1.12,1.25,23.81,0.06,0.9,3.41,0,0,0.89,0.06,0.11,5.45,0.11,0.02
331.38,3.76,2.36,0,2.36,0,35.99,1.5,0,0.72,1.04,13.67,0.1,0.84,1.66,0,0,0.29,0.02,0.08,2.95,0.09,0.01
1042.75,3.83,3.96,0,3.96,0,45.98,2.31,0,1.34,1.96,21.13,0.04,1.06,3.4,0,0,0.85,0.01,0.08,5.68,0.14,0
788.65,3.21,2.48,0,2.48,0,49.74,2.02,0,0.95,1.53,19.97,0.04,1.08,3.03,0,0.01,0.8,0.01,0.07,8.9,0.1,0
788.65,3.21,2.48,0,2.48,0,49.74,2.02,0,0.95,1.53,18.46,0.04,1.08,3.03,0,0.01,0.8,0.01,0.07,8.39,0.1,0
836.54,3.2,2.17,0,2.7,0,41.19,1.84,0,1.07,1.38,18.73,0.04,1.01,1.89,0,0,0.66,0.02,0.05,7,0.14,0
927.73,3.31,0,0,1.87,0,59.39,2.05,0,1.42,1.76,13.74,0.06,1.06,2.84,0,0,0.66,0.01,0.06,4.9,0.21,0
729.33,2.6,0,0,1.7,0,53.87,1.95,0,1.08,1.41,9.68,0.07,0.81,2.23,0,0,0.43,0.01,0.05,3.73,0.22,0
